Nama Sekolah,Wilayah Jakarta
SMA Impian Bunda,Jakarta Barat
SMA IP Yakin,Jakarta Barat
SMA Islam Al Azhar 20 Kembangan,Jakarta Barat
SMA Islam Tambora,Jakarta Barat
SMA Islam Terpadu Almaka,Jakarta Barat
SMA Josua,Jakarta Barat
SMA Kairos Gracia,Jakarta Barat
SMA Kanaan Global School,Jakarta Barat
SMA Kasih Bagi Bangsa,Jakarta Barat
SMA Kasih Immanuel,Jakarta Barat
SMA Kasih Karunia,Jakarta Barat
SMA Katholik Bintang Kejora,Jakarta Barat
SMA Katolik Abdi Siswa,Jakarta Barat
SMA Katolik Lia Stephanie,Jakarta Barat
SMA Katolik Ricci,Jakarta Barat
SMA Katolik Sang Timur,Jakarta Barat
SMA Kemurnian II,Jakarta Barat
SMA Kristen 1 BPK Penabur,Jakarta Barat
SMA Kristen 4 Penabur,Jakarta Barat
SMA Kristen Almasih,Jakarta Barat
SMA Kristen Immanuel,Jakarta Barat
SMA Kristen Ipeka Puri Indah,Jakarta Barat
SMA Kristen Ipeka Tomang,Jakarta Barat
SMA Kristen Kalam Kudus II,Jakarta Barat
SMA Kristen Kasih Kemuliaan,Jakarta Barat
SMA Kristen Pancaran Berkat,Jakarta Barat
SMA Kristen Samaria Kudus,Jakarta Barat
SMA Kristen Tiara Kasih,Jakarta Barat
SMA Kristen Tunas Bangsa,Jakarta Barat
SMA Lamaholot,Jakarta Barat
SMA Mahabodhi Vidya,Jakarta Barat
SMA Maitreyawira Jakarta,Jakarta Barat
SMA Makarios,Jakarta Barat
SMA Mentari Grand Surya,Jakarta Barat
SMA Muhammadiyah 13 Jakarta,Jakarta Barat
SMA Muhammadiyah 15,Jakarta Barat
SMA Muhammadiyah 24,Jakarta Barat
SMA Mutiara Bangsa 3,Jakarta Barat
SMA Nasional Nusantara,Jakarta Barat
SMA Notre Dame,Jakarta Barat
SMA Padindi,Jakarta Barat
SMA Pah Tsung,Jakarta Barat
SMA Pelita 2,Jakarta Barat
