Nama Komplek,Wilayah Jakarta
KOMPLEK GADING ARCADIA,Jakarta Utara
KOMPLEK GRIYA AGUNG PERMAI,Jakarta Pusat
KOMPLEK GUDANG PELURU,Jakarta Selatan
KOMPLEK HARLAP,Jakarta Selatan
JANUR ELOK,Jakarta Utara
KESATRIAAN MARINIR CILANDAK,Jakarta Selatan
KOMPLEK DEPARTEMEN KEUANGAN,Jakarta Timur
KOMP.RINDAM JAYA,Jakarta Timur
KOMPLE PERWIRA MABAD,Jakarta Barat
MAWAR TOWNHOUSE,Jakarta Selatan
MENTENG METROPOLITAN,Jakarta Timur
METRO MARINA,Jakarta Utara
MUTIARA BRAWIJAYA,Jakarta Selatan
ORANGE GLEN (TAMAN JERUK PURUT),Jakarta Selatan
PANORAMA INDAH,Jakarta Timur
PERMATA KEMANG TOWN HOUSE,Jakarta Selatan
PERMATA REGENCY,Jakarta Barat
PERUM INTERKOTA INDAH,Jakarta Barat
PERUM JASA TIRTA 2,Jakarta Timur
PERUM YASMIN,Jakarta Selatan
PERUMAHAN BANK EKONOMI,Jakarta Barat
PERUMAHAN BATALYON KAVALERI 1,Jakarta Timur
PERUMAHAN BEA CUKAI,Jakarta Barat
PERUMAHAN BI,Jakarta Barat
PERUMAHAN BNI,Jakarta Barat
PERUMAHAN BUMI INDAH,Jakarta Barat
PERUMAHAN BUMI KARANG INDAH,Jakarta Selatan
PERUMAHAN BUMI MALAKA SARI,Jakarta Timur
PERUMAHAN BUMI SARINAH,Jakarta Selatan
PERUMAHAN BUNCIT RAYA PERMAI,Jakarta Selatan
PERUMAHAN CENGKARENG INDAH,Jakarta Barat
PERUMAHAN CIPULIR PERMAI,Jakarta Selatan
PERUMAHAN DAAN MOGOT BARU,Jakarta Barat
PERUMAHAN DUREN SAWIT,Jakarta Timur
PERUMAHAN GOLKAR,Jakarta Barat
PERUMAHAN JAYA,Jakarta Barat
PERUMAHAN KARYAWAN FILM DAN TELEVISI,Jakarta Barat
PERUMAHAN LEMIGAS,Jakarta Barat
PERUMAHAN MIGAS 44,Jakarta Barat
PERUMAHAN PAJAK,Jakarta Barat
PERUMAHAN PERMATA MEDITERANIA,Jakarta Barat
PERUMAHAN PERTAMINA,Jakarta Barat
PERUMAHAN SEKNEG,Jakarta Barat
PERUMAHAN SENAYAN RESIDENCES,Jakarta Selatan
PERUMNAS BUMI SANGGRAHA,Jakarta Timur
PONDOK ARLIN INDAH,Jakarta Timur
PONDOK KUWERO,Jakarta Timur
PULOMAS RESIDENCE,Jakarta Timur
PURI BOTANICAL RESIDENCE,Jakarta Barat
PURI KENCANA,Jakarta Barat
RESIDENCE 28 KEDOYA,Jakarta Barat
RUKO KELAPA GADING PERMAI,Jakarta Utara
RUMAH KEDUTAAN,Jakarta Selatan
RUMAH SUSUN BENDUNGAN HILIR,Jakarta Pusat
RUMAH SUSUN KEMAYORAN,Jakarta Pusat
RUSUN KOMPLEK DKI PENJARINGAN,Jakarta Utara
SIMPRUG DIPORIS,Jakarta Utara
SUNRISE GARDEN,Jakarta Barat
TAMAN ALFA INDAH BLK C 2,Jakarta Barat
TAMAN ALFA INDAH BLOCK B9,Jakarta Barat
TAMAN BUKIT,Jakarta Selatan
TAMAN GANDARIA,Jakarta Selatan
TAMAN GANDARIA BLOK E,Jakarta Selatan
TAMAN GRISENDA,Jakarta Utara
TAMAN JATINEGARA,Jakarta Timur
TAMAN KEBON JERUK,Jakarta Barat
TAMAN KEDOYA BARU,Jakarta Barat
TAMAN MERUYA ILIR,Jakarta Barat
TAMAN PALEM LESTARI,Jakarta Barat
TAMAN PERMATA BUANA,Jakarta Barat
TAMAN PERMATA INDAH,Jakarta Barat
TAMAN PERMATA INDAH II,Jakarta Utara
TAMAN RATU INDAH,Jakarta Barat
TAMAN RATU INDAH BLOK B4,Jakarta Barat
TAMAN TAMAN PERMATA INDAH II (—),Jakarta Utara
TAMAN RATU INDAH BLOK BB1,Jakarta Barat
TAMAN TIRTA GOLF,Jakarta Selatan
TANJUNG MAS RAYA,Jakarta Selatan
THE GREEN MANSION,Jakarta Barat
THE KEW GARDEN RESIDENCE,Jakarta Utara
THE NIRWANA GARDEN,Jakarta Utara
THE ST. MORITZ,Jakarta Barat
THE VILLAS - KELAPA GADING SQUARE,Jakarta Utara
TOWN HOUSE KEMANG,Jakarta Selatan
TOWN HOUSE PURI BUNDA,Jakarta Timur
VILLA ARTHA GADING,Jakarta Utara
