KodePos,Kelurahan,Kecamatan,KotaKabupaten,Provinsi
11620,Meruya Utara,Kembangan,Kota Jakarta Barat,DKI Jakarta
13850,Munjul,Cipayung,Kota Jakarta Timur,DKI Jakarta
14420,Pademangan Barat,Pademangan,Kota Jakarta Utara,DKI Jakarta
14410,Pademangan Timur,Pademangan,Kota Jakarta Utara,DKI Jakarta
11480,Palmerah,Pal Merah,Kota Jakarta Barat,DKI Jakarta
13140,Palmeriam,Matraman,Kota Jakarta Timur,DKI Jakarta
12780,Pancoran,Pancoran,Kota Jakarta Selatan,DKI Jakarta
14340,Papanggo,Tanjung Priok,Kota Jakarta Utara,DKI Jakarta
10710,Pasar Baru,Sawah Besar,Kota Jakarta Pusat,DKI Jakarta
12970,Pasar Manggis,Setiabudi,Kota Jakarta Selatan,DKI Jakarta
12520,Pasar Minggu,Pasar Minggu,Kota Jakarta Selatan,DKI Jakarta
10440,Paseban,Senen,Kota Jakarta Pusat,DKI Jakarta
11830,Pegadungan,Kalideres,Kota Jakarta Barat,DKI Jakarta
10320,Pegangsaan,Menteng,Kota Jakarta Pusat,DKI Jakarta
14250,Pegangsaan Dua,Kelapa Gading,Kota Jakarta Utara,DKI Jakarta
14450,Pejagalan,Penjaringan,Kota Jakarta Utara,DKI Jakarta
12510,Pejaten Barat,Pasar Minggu,Kota Jakarta Selatan,DKI Jakarta
12510,Pejaten Timur,Pasar Minggu,Kota Jakarta Selatan,DKI Jakarta
13710,Pekayon,Pasar Rebo,Kota Jakarta Timur,DKI Jakarta
11240,Pekojan,Tambora,Kota Jakarta Barat,DKI Jakarta
12720,Pela Mampang,Mampang Prapatan,Kota Jakarta Selatan,DKI Jakarta
12770,Pengadegan,Pancoran,Kota Jakarta Selatan,DKI Jakarta
13940,Penggilingan,Cakung,Kota Jakarta Timur,DKI Jakarta
14440,Penjaringan,Penjaringan,Kota Jakarta Utara,DKI Jakarta
12320,Pesanggrahan,Pesanggrahan,Kota Jakarta Selatan,DKI Jakarta
10260,Petamburan,Tanah Abang,Kota Jakarta Pusat,DKI Jakarta
12170,Petogogan,Kebayoran Baru,Kota Jakarta Selatan,DKI Jakarta
10160,Petojo Selatan,Gambir,Kota Jakarta Pusat,DKI Jakarta
10130,Petojo Utara,Gambir,Kota Jakarta Pusat,DKI Jakarta
12270,Petukangan Selatan,Pesanggrahan,Kota Jakarta Selatan,DKI Jakarta
12260,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan,DKI Jakarta
13560,Pinangranti,Makasar,Kota Jakarta Timur,DKI Jakarta
11110,Pinangsia,Taman Sari,Kota Jakarta Barat,DKI Jakarta
13110,Pisangan Baru,Matraman,Kota Jakarta Timur,DKI Jakarta
13230,Pisangan Timur,Pulogadung,Kota Jakarta Timur,DKI Jakarta
14450,Pluit,Penjaringan,Kota Jakarta Utara,DKI Jakarta
13430,Pondok Bambu,Duren Sawit,Kota Jakarta Timur,DKI Jakarta
13450,Pondok Kelapa,Duren Sawit,Kota Jakarta Timur,DKI Jakarta
13460,Pondok Kopi,Duren Sawit,Kota Jakarta Timur,DKI Jakarta
12450,Pondok Labu,Cilandak,Kota Jakarta Selatan,DKI Jakarta
12310,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan,DKI Jakarta
13860,Pondok Ranggon,Cipayung,Kota Jakarta Timur,DKI Jakarta
14540,Pulau Harapan,Kepulauan Seribu Utara,Kabupaten Kepulauan Seribu,DKI Jakarta
