nama_kampus
Sekolah Tinggi Hukum Indonesia
Sekolah Tinggi Ilmu Administrasi dan Sekretari ASMI
Sekolah Tinggi Ilmu Administrasi Kawula Indonesia
Sekolah Tinggi Ilmu Administrasi Yapann
Sekolah Tinggi Ilmu Administrasi YPIAMI
Sekolah Tinggi Ilmu Hukum LPIHM-IBLM
Sekolah Tinggi Ilmu Kesehatan Indonesia Maju
Sekolah Tinggi Ilmu Kesehatan Istara Nusantara
Sekolah Tinggi Ilmu Kesehatan Kesetiakawanan Sosial Indonesia
Sekolah Tinggi Ilmu Kesehatan Medistra Indonesia
Sekolah Tinggi Ilmu Kesehatan Mohammad Husni Thamrin
Sekolah Tinggi Ilmu Kesehatan Mitra Ria Husada
Sekolah Tinggi Ilmu Kesehatan Pamentas
Sekolah Tinggi Ilmu Kesehatan Saint Carolus
Sekolah Tinggi Ilmu Komputer Cipta Karya Informatika
Sekolah Tinggi Ilmu Komunikasi dan Sekretari TARAKANITA (d/h Aksek LPK Tarakanita) (STARKI)
Sekolah Tinggi Ilmu Komunikasi Indonesia Maju
Sekolah Tinggi Ilmu Komunikasi Inter Studi
Sekolah Tinggi Ilmu Komunikasi LSPR
Sekolah Tinggi Ilmu Komunikasi Profesi Indonesia
Sekolah Tinggi Ilmu Komunikasi YTKP
Sekolah Tinggi Ilmu Manajemen Kosgoro
Sekolah Tinggi Ilmu Manajemen LPMI
Sekolah Tinggi Ilmu Maritim AMI
Sekolah Tinggi Ilmu Pemerintahan Abdi Negara
Sekolah Tinggi Kedokteran YARSI Jakarta (sekarang Universitas YARSI )
Sekolah Tinggi Keuangan Niaga dan Negara Pembangunan
Sekolah Tinggi Manajemen Risiko Dan Asuransi (STIMRA)
Sekolah Tinggi Manajemen Asuransi Trisakti
Sekolah Tinggi Manajemen dan Informatika Komputer Jayakarta
Sekolah Tinggi Manajemen IMMI
Sekolah Tinggi Manajemen IMNI
Sekolah Tinggi Manajemen Industri Indonesia
Sekolah Tinggi Manajemen IPMI
Sekolah Tinggi Manajemen Labora
Sekolah Tinggi Manajemen PPM
Sekolah Tinggi Manajemen Prasetiya Mulya
Sekolah Tinggi Manajemen Transpor Trisakti
Sekolah Tinggi Manajemen Transportasi Malahayati
Sekolah Tinggi Manajemen Yaksi
Sekolah Tinggi Pariwisata Sahid
Sekolah Tinggi Pariwisata Trisakti
Sekolah Tinggi Penerbangan Aviasi
Sekolah Tinggi Perpajakan Indonesia
Sekolah Tinggi Teknik Informatik Benarif Indonesia
Sekolah Tinggi Teknologi Informasi NIIT I-Tech Jakarta
Sekolah Tinggi Teknologi Jakarta
Sekolah Tinggi Teknik Jaya Mahadika
Sekolah Tinggi Teknik Sapta Taruna
Sekolah Tinggi Teknik-PLN
Sekolah Tinggi Teknologi 10 November
Sekolah Tinggi Teknologi Indonesia
Sekolah Tinggi Teknologi Kelautan Hatawana
Sekolah Tinggi Teologi Jakarta
Sekolah Tinggi Teologi Sunsugos 
Sekolah Tinggi Theologi Jaffray Jakarta 
STMIK Jakarta Institute of Technology
Politeknik Bisnis Indonesia
Politeknik Bisnis dan Pasar Modal
Politeknik Bunda Kandung
Politeknik Global Indonesia
Politeknik Karya Husada
Politeknik LP3I
Politeknik Manufaktur Astra
Politeknik Statistika STIS
Politeknik Swadharma Diarsipkan 2011-08-12 di Wayback Machine .
Politeknik Trisila Dharma
Politeknik Tugu Jakarta
Akademi Administrasi Keuangan Jakarta
Akademi Administrasi Kusuma Mandiri
Akademi Administrasi Pembangunan Indonesia
Akademi Akuntansi Artawiyata Indo-LPI
Akademi Akuntansi Bentara Indonesia
Akademi Akuntansi Borobudur
Akademi Akuntansi Jayabaya
Akademi Akuntansi Nasional
Akademi Akuntansi Paramita
Akademi Akuntansi Santa Ursula
Akademi Akuntansi Syafa'at Indonesia
Akademi Akuntansi YAI
Akademi Angutan Udara Niaga Trisakti (AAUN Trisakti)
Akademi Asuransi Indonesia
Akademi Bahasa Asing Borobudur
Akademi Bahasa Asing BSI
Akademi Bahasa Asing Kusuma Mandiri
Akademi Bahasa Asing Indonesia LPI
Akademi Bahasa Asing Nasional
Akademi Bahasa Asing Prawira Marta
Akademi Bahasa Asing Saint Mary
Akademi Bahasa Asing Santa Ursula
Akademi Bahasa Asing Widuri Widyasastra
Akademi Bank Indonesia
Akademi Bisnis Indonesia
Akademi Kebidanan Al-Fathonah
Akademi Kebidanan Bhakti Pertiwi Indonesia
Akademi Kebidanan Istara Nusantara
Akademi Kebidanan Kartika Mitra Husada
Akademi Kebidanan Keris Husada
Akademi Kabidanan Kartini Jakarta
Akademi Kebidanan Mitra Persahabatan
Akademi Kebidanan Pelita Persada
Akademi Kebidanan Prestasi Agung
Akademi Kebidanan Sismadi
Akademi Kebidanan Suluh Bangsa
Akademi Kebidanan Widyakarsa
Akademi Kebidanan Yaspen Tugu Ibu
Akademi Kebidanan YPDR
Akademi Keperawatan Keris Husada
Akademi Keperawatan Rumah Sakit DGI Cikini
Akademi Keperawatan Rumah Sakit Jakarta
Akademi Keperawatan Rumah Sakit Husada
Akademi Keperawatan Syafaat Indonesia
Akademi Keuangan Dan Perbankan Borobudur
Akademi Keuangan Dan Perbankan LPI
Akademi Keuangan Dan Perbankan Patrisia
Akademi Keuangan Dan Perbankan Yapenanta
Akademi Keuangan Dan Perbankan YPK
Akademi Kimia Analis Caraka Nusantara
Akademi Komunikasi Bina Ekatama
Akademi Komunikasi Bina Sarana Informatika
Akademi Komunikasi Media Radio Dan TV
Akademi Komunikasi The Next Academy
Akademi Litigasi Indonesia Triguna
Akademi Manajemen Indonesia (AMIK)
Akademi Manajemen Keuangan YP-IPPI
Akademi Manajemen Pemasaran Cavendish
Akademi Manajemen Perusahan Jayabaya
Akademi Manajemen YAPK
Akademi Manajemen YPPI
Akademi Maritim Djadajat
Akademi Maritim Nasional Jaya
Akademi Maritim Pembangunan
Akademi Pariwisata Bhakti Nusantara
Akademi Pariwisata Buana Wisata
Akademi Pariwisata Bunda Mulia
Akademi Pariwisata Gsp Internasional
Akademi Pariwisata Indonesia
Akademi Pariwisata Jakarta
Akademi Pariwisata Jakarta International Hotel
Akademi Pariwisata Krisanti Widya Mandiri
Akademi Pariwisata Matoa
Akademi Pariwisata Nasional
Akademi Pariwisata Nusantara Jaya
Akademi Pariwisata Paramitha
Akademi Pariwisata Patria Indonesia
Akademi Pariwisata Saint Mary
Akademi Pariwisata Pelita Harapan
Akademi Pariwisata Pertiwi
Akademi Pariwisata Tridaya Wisata
Akademi Pelayaran Niaga Indonesia
Akademi Perbankan Yuki
Akademi Pertamanan Interstudi
Akademi Sekretari Budi Luhur
Akademi Sekretari dan Manajemen BSI
Akademi Sekretari dan Manajemen Dharma Budhi Bhakti
Akademi Sekretari dan Manajemen Don Bosco
Akademi Sekretari dan Manajemen Pitaloka
Akademi Sekretari dan Manajemen Purnama
Akademi Sekretari dan Manajemen Saint Mary
Akademi Sekretari dan Manjemen Santa Ursula
Akademi Sekretari Interstudi
Akademi Sekretari Jayabaya
Akademi Sekretari Regina Contesorum
Akademi Sekretari Saint Theresia
Akademi Sekretaris ISWI
Akademi Sekretaris LPK Tarakanita
Akademi Seni Rupa dan Desain Iswi
Akademi Theologia Amanat Penuaian Terakhir
Akademi Teknik Desain Interior
Akademi Teknik Informatika Tunas Bangsa
Akademi Teknik Telekomunikasi Sandhy Putra Jakarta
Akademi Teknologi Grafika Indonesia
Akademi Teknologi Grafika Trisakti
Akademi Teknologi Komunikasi Dan Informatika
Akademi Telekomunikasi Indonesia Gemilang
Akademi Televisi Indonesia/ATVI Indosiar-SCTV
AMIK Jakarta Institut of Technology
