name,wilayah,category
Puri Garden,Jakarta Barat,apartemen
Daan Mogot City,Jakarta Barat,apartemen
Puri Park View,Jakarta Barat,apartemen
City Resort,Jakarta Barat,apartemen
Sky Terrace Lagoon Condominium,Jakarta Barat,apartemen
Point 8 Terrace Mansion,Jakarta Barat,apartemen
Green Central City,Jakarta Pusat,apartemen
Westmark Apartment,Jakarta Barat,apartemen
City Garden,Jakarta Barat,apartemen
Windsor,Jakarta Barat,apartemen
Menara Kebon Jeruk,Jakarta Barat,apartemen
Tomang Park,Jakarta Barat,apartemen
West Vista,Jakarta Barat,apartemen
SOHO @ Podomoro City,Jakarta Barat,apartemen
Gading Nias,Jakarta Utara,apartemen
Oceana Residence,Jakarta Utara,apartemen
Summerville,Jakarta Utara,apartemen
Menara Marina Condominium,Jakarta Utara,apartemen
Metro Sunter,Jakarta Utara,apartemen
Summit,Jakarta Utara,apartemen
The LINQ Kemayoran,Jakarta Pusat,apartemen
Aston Pluit,Jakarta Utara,apartemen
Aston Marina Residence,Jakarta Utara,apartemen
Marina Mediterania Ancol,Jakarta Utara,apartemen
Kelapa Gading Square,Jakarta Utara,apartemen
Sedayu City,Jakarta Utara,apartemen
Green Bay Pluit,Jakarta Utara,apartemen
Green Lake Sunter,Jakarta Utara,apartemen
De Ploeit Centrale,Jakarta Utara,apartemen
Sunter Park View,Jakarta Utara,apartemen
Sunter Icon,Jakarta Utara,apartemen
Royal Tower Riverside,Jakarta Utara,apartemen
Oyama Plaza,Jakarta Utara,apartemen
Regatta,Jakarta Utara,apartemen
Gold Coast,Jakarta Utara,apartemen
Pluit Sea View,Jakarta Utara,apartemen
Tokyo Riverside Apartment,Jakarta Utara,apartemen
The Park Residence,Jakarta Utara,apartemen
Maple Park,Jakarta Utara,apartemen
City Home Apartment,Jakarta Utara,apartemen
Gading Mediterania Residence,Jakarta Utara,apartemen
Ancol Mansion,Jakarta Utara,apartemen
Northland Ancol Residence,Jakarta Utara,apartemen
Wisma Gading Permai,Jakarta Utara,apartemen
French Walk,Jakarta Utara,apartemen
Gading Green Hill,Jakarta Utara,apartemen
Gading Resort Residences,Jakarta Utara,apartemen
Gading Icon,Jakarta Utara,apartemen
Sherwood Residence,Jakarta Utara,apartemen
The Kensington Royal Suites,Jakarta Utara,apartemen
Robinson,Jakarta Utara,apartemen
Apartemen Pantai Mutiara,Jakarta Utara,apartemen
Laguna Pluit,Jakarta Utara,apartemen
Aston Marina,Jakarta Utara,apartemen
Paladian Park,Jakarta Utara,apartemen
Teluk Intan,Jakarta Utara,apartemen
CBD Pluit,Jakarta Utara,apartemen
Osaka Riverview,Jakarta Utara,apartemen
Monumen Selamat Datang,Jakarta Pusat,bangunan_dan_struktur
Hotel Indonesia,Jakarta Pusat,bangunan_dan_struktur
The Westin,Jakarta Selatan,bangunan_dan_struktur
Wisma Arthaloka,Jakarta Pusat,bangunan_dan_struktur
Wisma Kyoei Prince,Jakarta Pusat,bangunan_dan_struktur
Wisma Prince Center,Jakarta Pusat,bangunan_dan_struktur
Wisma Nugraha Santana,Jakarta Pusat,bangunan_dan_struktur
Mid Plaza,Jakarta Selatan,bangunan_dan_struktur
Da Vinci Tower,Jakarta Pusat,bangunan_dan_struktur
Hotel Sahid Jakarta,Jakarta Selatan,bangunan_dan_struktur
Le Meridien Hotel,Jakarta Selatan,bangunan_dan_struktur
Wisma Dharmala Sakti,Jakarta Selatan,bangunan_dan_struktur
Wisma Sudirman,Jakarta Selatan,bangunan_dan_struktur
Gedung BRI I,Jakarta Pusat,bangunan_dan_struktur
Gedung BRI II,Jakarta Pusat,bangunan_dan_struktur
Wisma GKBI,Jakarta Pusat,bangunan_dan_struktur
Hotel Sultan,Jakarta Pusat,bangunan_dan_struktur
Gelora Bung Karno,Jakarta Pusat,bangunan_dan_struktur
Sudirman Palace,Jakarta Selatan,bangunan_dan_struktur
Depdiknas (Kemendikbud),Jakarta Selatan,bangunan_dan_struktur
Ratu Plaza,Jakarta Selatan,bangunan_dan_struktur
Panin Bank Center,Jakarta Selatan,bangunan_dan_struktur
Thamrin City,Jakarta Pusat,bangunan_dan_struktur
Thamrin Executive Residences,Jakarta Pusat,bangunan_dan_struktur
Thamrin Residences,Jakarta Pusat,bangunan_dan_struktur
Cosmo Mansion,Jakarta Pusat,bangunan_dan_struktur
Jakarta Residences,Jakarta Pusat,bangunan_dan_struktur
Cosmo Terrace,Jakarta Pusat,bangunan_dan_struktur
Hotel Mandarin Oriental,Jakarta Pusat,bangunan_dan_struktur
BBD Plaza,Jakarta Pusat,bangunan_dan_struktur
Stasiun Dukuh Atas,Jakarta Selatan,bangunan_dan_struktur
Landmark Towers,Jakarta Selatan,bangunan_dan_struktur
Wisma Indocement,Jakarta Selatan,bangunan_dan_struktur
Wisma Bumiputera,Jakarta Selatan,bangunan_dan_struktur
Chase Plaza,Jakarta Selatan,bangunan_dan_struktur
Wisma Tamara,Jakarta Selatan,bangunan_dan_struktur
Wisma BCA,Jakarta Pusat,bangunan_dan_struktur
Plaza Lippo,Jakarta Selatan,bangunan_dan_struktur
Plaza DM,Jakarta Selatan,bangunan_dan_struktur
Sona Topas Tower,Jakarta Selatan,bangunan_dan_struktur
Mayapada Tower,Jakarta Selatan,bangunan_dan_struktur
Wisma Metropolitan 1,Jakarta Pusat,bangunan_dan_struktur
Wisma Metropolitan 2,Jakarta Pusat,bangunan_dan_struktur
World Trade Center Jakarta,Jakarta Selatan,bangunan_dan_struktur
Sampoerna Strategic Square,Jakarta Selatan,bangunan_dan_struktur
Plaza Sentral,Jakarta Selatan,bangunan_dan_struktur
Rumah Sakit Jakarta,Jakarta Pusat,bangunan_dan_struktur
Universitas Kristen Atma Jaya,Jakarta Selatan,bangunan_dan_struktur
Plaza Semanggi,Jakarta Selatan,bangunan_dan_struktur
Balai Sarbini,Jakarta Selatan,bangunan_dan_struktur
Jembatan Semanggi,Jakarta Selatan,bangunan_dan_struktur
Polda Metro Jaya,Jakarta Selatan,bangunan_dan_struktur
Jakarta Stock Exchange,Jakarta Selatan,bangunan_dan_struktur
Plaza Bapindo,Jakarta Selatan,bangunan_dan_struktur
Graha Niaga,Jakarta Selatan,bangunan_dan_struktur
Plaza ABDA,Jakarta Selatan,bangunan_dan_struktur
Menara Sudirman,Jakarta Selatan,bangunan_dan_struktur
Summitmas,Jakarta Selatan,bangunan_dan_struktur
Sudirman Plaza,Jakarta Selatan,bangunan_dan_struktur
Bank Indonesia,Jakarta Pusat,bangunan_dan_struktur
Departemen Energi dan Sumber Daya Mineral(ESDM),Jakarta Pusat,bangunan_dan_struktur
Departemen Agama Republik Indonesia,Jakarta Pusat,bangunan_dan_struktur
Bank Rama,Jakarta Pusat,bangunan_dan_struktur
Badan Perencanaan dan Penerapan Teknologi(BPPT),Jakarta Pusat,bangunan_dan_struktur
Bank Bangkok,Jakarta Pusat,bangunan_dan_struktur
Menara Thamrin Bank Mandiri Syariah,Jakarta Pusat,bangunan_dan_struktur
Gedung Jaya,Jakarta Pusat,bangunan_dan_struktur
Hotel Sari Pan Pacific,Jakarta Pusat,bangunan_dan_struktur
Badan Pengawas Pemilihan Umum(Bawaslu),Jakarta Pusat,bangunan_dan_struktur
Menara Cakrawala,Jakarta Pusat,bangunan_dan_struktur
Menara Eksekutif,Jakarta Pusat,bangunan_dan_struktur
Gedung Sarinah,Jakarta Pusat,bangunan_dan_struktur
Thamrin Office Park,Jakarta Pusat,bangunan_dan_struktur
Kedutaan besar Prancis,Jakarta Pusat,bangunan_dan_struktur
EX Plaza,Jakarta Pusat,bangunan_dan_struktur
Plaza BII,Jakarta Pusat,bangunan_dan_struktur
Kedutaan besar Jepang,Jakarta Pusat,bangunan_dan_struktur
Kedutaan besar Korea Selatan,Jakarta Pusat,bangunan_dan_struktur
Wisma Kosgoro,Jakarta Pusat,bangunan_dan_struktur
The Kraton Tower,Jakarta Pusat,bangunan_dan_struktur
Oil Center Jakarta,Jakarta Pusat,bangunan_dan_struktur
The Plaza Tower,Jakarta Pusat,bangunan_dan_struktur
Plaza Permata,Jakarta Pusat,bangunan_dan_struktur
Plaza Indonesia,Jakarta Pusat,bangunan_dan_struktur
Grand Hyatt Jakarta,Jakarta Pusat,bangunan_dan_struktur
Hotel Nikko,Jakarta Pusat,bangunan_dan_struktur
Grand Indonesia Shopping Town,Jakarta Pusat,bangunan_dan_struktur
Kempinski Residence,Jakarta Pusat,bangunan_dan_struktur
Wisma Nusantara,Jakarta Pusat,bangunan_dan_struktur
Menara BCA,Jakarta Pusat,bangunan_dan_struktur
Kedutaan besar Inggris,Jakarta Pusat,bangunan_dan_struktur
UOB Plaza,Jakarta Pusat,bangunan_dan_struktur
Deutsche Bank,Jakarta Pusat,bangunan_dan_struktur
The Thamrin Nine,Jakarta Pusat,bangunan_dan_struktur
Kedutaan besar Jerman,Jakarta Pusat,bangunan_dan_struktur
The City Tower,Jakarta Pusat,bangunan_dan_struktur
Gedung Manggala Wanabakti,Jakarta Pusat,bangunan_dan_struktur
Kementerian Kehutanan Republik Indonesia,Jakarta Pusat,bangunan_dan_struktur
DPR/MPR,Jakarta Pusat,bangunan_dan_struktur
Jakarta Convention Center,Jakarta Pusat,bangunan_dan_struktur
Plaza Mandiri,Jakarta Selatan,bangunan_dan_struktur
Direktorat Jenderal Pajak,Jakarta Pusat,bangunan_dan_struktur
Autograph Tower,Jakarta Pusat,gedung_tinggi
Luminary Tower,Jakarta Pusat,gedung_tinggi
Gama Tower,Jakarta Selatan,gedung_tinggi
Azure Tower,Jakarta Selatan,gedung_tinggi
Treasury Tower,Jakarta Selatan,gedung_tinggi
Trinity Tower,Jakarta Selatan,gedung_tinggi
Gedung Mori,Jakarta Pusat,gedung_tinggi
Wisma 46,Jakarta Pusat,gedung_tinggi
Menara Astra,Jakarta Pusat,gedung_tinggi
Millenium Office Tower,Jakarta Pusat,gedung_tinggi
Equinox Tower,Jakarta Selatan,gedung_tinggi
Revenue Tower,Jakarta Selatan,gedung_tinggi
Raffles Jakarta,Jakarta Selatan,gedung_tinggi
The Pakubuwono Signature,Jakarta Selatan,gedung_tinggi
World Capital Tower,Jakarta Selatan,gedung_tinggi
St Regis Hotel and Residence,Jakarta Selatan,gedung_tinggi
Sahid Sudirman Center,Jakarta Pusat,gedung_tinggi
Sinarmas MSIG Tower,Jakarta Selatan,gedung_tinggi
Menara BCA,Jakarta Pusat,gedung_tinggi
Casa Domaine Tower 1,Jakarta Selatan,gedung_tinggi
Menara Kompas III,Jakarta Barat,gedung_tinggi
Keraton at The Plaza,Jakarta Pusat,gedung_tinggi
Mangkuluhur City Apartment Tower A,Jakarta Selatan,gedung_tinggi
Menara BTPN,Jakarta Selatan,gedung_tinggi
Telkom Landmark Tower 2,Jakarta Selatan,gedung_tinggi
Equity Tower,Jakarta Selatan,gedung_tinggi
The Peak 1,Jakarta Selatan,gedung_tinggi
The Peak 2,Jakarta Selatan,gedung_tinggi
Denpasar Residence 1,Jakarta Selatan,gedung_tinggi
Denpasar Residence 2,Jakarta Selatan,gedung_tinggi
Capital Place Office Tower,Jakarta Selatan,gedung_tinggi
The Energy Tower,Jakarta Selatan,gedung_tinggi
Kempinski Residences,Jakarta Pusat,gedung_tinggi
Bakrie Tower,Jakarta Selatan,gedung_tinggi
International Financial Centre Tower 2,Jakarta Selatan,gedung_tinggi
The Pinnacle,Jakarta Pusat,gedung_tinggi
Ritz-Carlton Jakarta Tower A,Jakarta Selatan,gedung_tinggi
Ritz-Carlton Jakarta Tower B,Jakarta Selatan,gedung_tinggi
The Tower,Jakarta Selatan,gedung_tinggi
PCPD Tower,Jakarta Pusat,gedung_tinggi
My Home & Ascott Apartment,Jakarta Pusat,gedung_tinggi
Sequis Centre Tower,Jakarta Selatan,gedung_tinggi
Casa Domaine Tower 2,Jakarta Selatan,gedung_tinggi
WTC 3,Jakarta Selatan,gedung_tinggi
SeaView Condominium Tower J,Jakarta Utara,gedung_tinggi
SeaView Condominium Tower K,Jakarta Utara,gedung_tinggi
SeaView Condominium Tower L,Jakarta Utara,gedung_tinggi
SeaView Condominium Tower M,Jakarta Utara,gedung_tinggi
The City Center Batavia,Jakarta Pusat,gedung_tinggi
The Plaza Office Tower,Jakarta Pusat,gedung_tinggi
Residence 8 @ Senopati Tower A,Jakarta Selatan,gedung_tinggi
Tokopedia Tower,Jakarta Selatan,gedung_tinggi
Residence 8 @ Senopati Tower B,Jakarta Selatan,gedung_tinggi
Eternity Tower,Jakarta Selatan,gedung_tinggi
Infinity Tower,Jakarta Selatan,gedung_tinggi
Axa Tower Jakarta,Jakarta Selatan,gedung_tinggi
Neo SOHO,Jakarta Barat,gedung_tinggi
SOHO Capital,Jakarta Barat,gedung_tinggi
West Vista Puri,Jakarta Barat,gedung_tinggi
Chitaland Tower,Jakarta Barat,gedung_tinggi
Wisma Mulia,Jakarta Selatan,gedung_tinggi
UOB Plaza,Jakarta Pusat,gedung_tinggi
DBS Tower,Jakarta Pusat,gedung_tinggi
Anandamaya Residences 1,Jakarta Pusat,gedung_tinggi
One Pacific Place,Jakarta Selatan,gedung_tinggi
MNC Media Tower,Jakarta Pusat,gedung_tinggi
Central Park Apartment Tower 1,Jakarta Barat,gedung_tinggi
Thamrin Executive Residence,Jakarta Pusat,gedung_tinggi
Menara Palma 2,Jakarta Selatan,gedung_tinggi
Pacific Place Residences East Tower,Jakarta Selatan,gedung_tinggi
