name,wilayah,category,KELURAHAN_REF,KECAMATAN_REF,KODEPOS_REF,STATUS
SMA Global Islamic School,Jakarta Timur,sma_smk,Bale Kambang,,13530.0,OSM_Success
SMA Global Mandiri,Jakarta Timur,sma_smk,,,,Not_Found
SMA Highfield,Jakarta Timur,sma_smk,,,,Not_Found
SMA IGN Slamet Riyadi,Jakarta Timur,sma_smk,,,,Not_Found
SMA Islam Al Azhar 19,Jakarta Timur,sma_smk,,,,Not_Found
SMA Islam Al Maruf,Jakarta Timur,sma_smk,Kelapa Dua Wetan,,13730.0,OSM_Success
SMA Islam PB Soedirman,Jakarta Timur,sma_smk,Cijantung,,13770.0,OSM_Success
SMA IT Al Halimiyah Jakarta,Jakarta Timur,sma_smk,,,,Not_Found
SMA IT Buahati Islamic School,Jakarta Timur,sma_smk,,,,Not_Found
SMA Jakarta Islamic School,Jakarta Timur,sma_smk,Bale Kambang,,13530,OSM_Success_Recovered
SMA Kapin,Jakarta Timur,sma_smk,Pondok Kelapa,,13440.0,OSM_Success
SMA Katolik Nusa Melati,Jakarta Timur,sma_smk,,,,Not_Found
SMA Kristen 7 Penabur,Jakarta Timur,sma_smk,,,,Not_Found
SMA Kristen Berkat Jakarta,Jakarta Timur,sma_smk,Duren Sawit,,13470,OSM_Success_Recovered
SMA Kristen Tunas Bangsa,Jakarta Timur,sma_smk,,,,Not_Found
SMA Labschool Ciracas,Jakarta Timur,sma_smk,,,,Not_Found
SMA Labschool Jakarta,Jakarta Timur,sma_smk,Kramat Pela,,12120,OSM_Success_Recovered
SMA Malahayati,Jakarta Timur,sma_smk,Cijantung,,13770.0,OSM_Success
Sma Mardani Leadership School,Jakarta Timur,sma_smk,,,,Not_Found
SMA Minhaajurrosyidiin,Jakarta Timur,sma_smk,,,,Not_Found
SMA Muhammadiyah 11 Jakarta,Jakarta Timur,sma_smk,Rawamangun,,13220.0,OSM_Success
SMA Muhammadiyah 12 Jakarta,Jakarta Timur,sma_smk,Rawamangun,,13220.0,OSM_Success
SMA Muhammadiyah 23 Jakarta,Jakarta Timur,sma_smk,,,,Not_Found
SMA Muhammadiyah 4 Jakarta,Jakarta Timur,sma_smk,,,,Not_Found
SMA Nabawi Islamic School,Jakarta Timur,sma_smk,,,,Not_Found
SMA Nahdlatul Wathan,Jakarta Timur,sma_smk,,,,Not_Found
SMA Nizamia Andalusia,Jakarta Timur,sma_smk,,,,Not_Found
SMA Nurul Huda Jakarta,Jakarta Timur,sma_smk,Cengkareng Timur,,11749.0,OSM_Success
SMA Pangudi Rahayu,Jakarta Timur,sma_smk,Cijantung,,13770.0,OSM_Success
SMA Pelita Tiga No 3 Jakarta,Jakarta Timur,sma_smk,,,,Not_Found
SMA Pembangunan III YPI,Jakarta Timur,sma_smk,,,,Not_Found
SMA Perguruan Advent XV,Jakarta Timur,sma_smk,Ciracas,,13840.0,OSM_Success
SMA Perguruan Rakyat 2 Jakarta,Jakarta Timur,sma_smk,Pondok Kelapa,,17412,OSM_Success_Recovered
SMA Perguruan Rakyat 3 Jakarta,Jakarta Timur,sma_smk,Duren Sawit,,13470,OSM_Success_Recovered
SMA PGRI 1 Jakarta,Jakarta Timur,sma_smk,,,,Not_Found
SMA PGRI 24 Jakarta,Jakarta Timur,sma_smk,,,,Not_Found
SMA PGRI 4 Jakarta,Jakarta Timur,sma_smk,Cipayung,,13870.0,OSM_Success
SMA PKP,Jakarta Timur,sma_smk,Kelapa Dua Wetan,,13730.0,OSM_Success
SMA Pratama,Jakarta Timur,sma_smk,Kelapa Dua Wetan,,13840.0,OSM_Success
SMA Prestasi Prima,Jakarta Timur,sma_smk,,,,Not_Found
SMA PSKD II Jakarta,Jakarta Timur,sma_smk,,,,Not_Found
SMA Pusaka 1 Jakarta,Jakarta Timur,sma_smk,,,,Not_Found
SMA Putra 1,Jakarta Timur,sma_smk,Kebon Bawang,,14320,OSM_Success_Recovered
SMA Santika,Jakarta Timur,sma_smk,Bambu Apus,,13890.0,OSM_Success
SMA Santo Yoseph Jakarta,Jakarta Timur,sma_smk,Ujung Menteng,,17132.0,OSM_Success
SMA Sapta Kharisma Jakarta,Jakarta Timur,sma_smk,Pulo Gebang,,41581.0,OSM_Success
SMA ST Alexius Jakarta,Jakarta Timur,sma_smk,Duren Sawit,,13470,OSM_Success_Recovered
SMA ST Antonius Jakarta,Jakarta Timur,sma_smk,,,,Not_Found
SMA Taruna Persada,Jakarta Timur,sma_smk,Gedong,,13760.0,OSM_Success
SMA Teladan 1 Jakarta,Jakarta Timur,sma_smk,,,,Not_Found
SMA Trampil 2 Jakarta,Jakarta Timur,sma_smk,,,,Not_Found
SMA Trisoko Jakarta,Jakarta Timur,sma_smk,,,,Not_Found
SMA Tunas Markatin Jakarta,Jakarta Timur,sma_smk,Rawamangun,,13220.0,OSM_Success
SMA Uswatun Hasanah Jakarta,Jakarta Timur,sma_smk,Pinang Ranti,,13560,OSM_Success_Recovered
SMA Villa Mas Jakarta,Jakarta Timur,sma_smk,Pulo Gadung,,13260,OSM_Success_Recovered
SMA Widya Manggala Jakarta,Jakarta Timur,sma_smk,Ciracas,,13830,OSM_Success_Recovered
SMA Wijaya Kusuma,Jakarta Timur,sma_smk,Rambutan,,13830.0,OSM_Success
SMA Yake Jakarta,Jakarta Timur,sma_smk,Bali Mester,,13310.0,OSM_Success
SMA YP IPPI Jakarta,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 1,Jakarta Pusat,sma_smk,Pasar Baru,,10460.0,OSM_Success
SMK Negeri 2,Jakarta Pusat,sma_smk,Gambir,,10110.0,OSM_Success
SMK Negeri 3,Jakarta Pusat,sma_smk,Gunung Sahari Selatan,,10620.0,OSM_Success
SMK Negeri 4,Jakarta Utara,sma_smk,Rorotan,,14140.0,OSM_Success
SMK Negeri 5,Jakarta Timur,sma_smk,Pisangan Baru,,13350.0,OSM_Success
SMK Negeri 6,Jakarta Selatan,sma_smk,Cawang,,13630,OSM_Success_Recovered
SMK Negeri 7,Jakarta Timur,sma_smk,Jati,,13250.0,OSM_Success
SMK Negeri 8,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 9,Jakarta Barat,sma_smk,Cempaka Baru,,10640,OSM_Success_Recovered
SMK Negeri 10,Jakarta Timur,sma_smk,Bambu Apus,,13890.0,OSM_Success
SMK Negeri 11,Jakarta Barat,sma_smk,Pinangsia,,11110.0,OSM_Success
SMK Negeri 12,Jakarta Utara,sma_smk,Cipinang Besar Utara,,13410.0,OSM_Success
SMK Negeri 13,Jakarta Barat,sma_smk,Palmerah,,11540.0,OSM_Success
SMK Negeri 14,Jakarta Pusat,sma_smk,Jatinegara,,13410,OSM_Success_Recovered
SMK Negeri 15,Jakarta Selatan,sma_smk,Pisangan Baru,,13350,OSM_Success_Recovered
SMK Negeri 16,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Negeri 17,Jakarta Barat,sma_smk,Pekojan,,11240.0,OSM_Success
SMK Negeri 18,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 19,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Negeri 20,Jakarta Selatan,sma_smk,Cilandak Barat,,12430.0,OSM_Success
SMK Negeri 21,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Negeri 22,Jakarta Timur,sma_smk,Klender,,13450.0,OSM_Success
SMK Negeri 23,Jakarta Utara,sma_smk,,,,Not_Found
SMK Negeri 24,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 25,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 26,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 27,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Negeri 28,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 29,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 30,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 31,Jakarta Pusat,sma_smk,Bendungan Hilir,,10210.0,OSM_Success
SMK Negeri 32,Jakarta Selatan,sma_smk,Gedong,,13530,OSM_Success_Recovered
SMK Negeri 33,Jakarta Utara,sma_smk,Bambu Apus,,13890,OSM_Success_Recovered
SMK Negeri 34,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Negeri 35,Jakarta Barat,sma_smk,,,,Not_Found
SMK Negeri 36,Jakarta Utara,sma_smk,Gedong,,13530,OSM_Success_Recovered
SMK Negeri 37,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 38,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Negeri 39,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Negeri 40,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 41,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 42,Jakarta Barat,sma_smk,,,,Not_Found
SMK Negeri 43,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 44,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Negeri 45,Jakarta Barat,sma_smk,,,,Not_Found
SMK Negeri 46,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 47,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 48,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 49,Jakarta Utara,sma_smk,,,,Not_Found
SMK Negeri 50,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 51,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 52,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 53,Jakarta Barat,sma_smk,,,,Not_Found
SMK Negeri 54,Jakarta Pusat,sma_smk,,,,Not_Found
SMK Negeri 55,Jakarta Utara,sma_smk,,,,Not_Found
SMK Negeri 56,Jakarta Utara,sma_smk,,,,Not_Found
SMK Negeri 57,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 58,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 59,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 60,Jakarta Barat,sma_smk,Duri Kepa,,11510.0,OSM_Success
SMK Negeri 61,Kepulauan Seribu,sma_smk,,,,Not_Found
SMK Negeri 62,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 63,Jakarta Selatan,sma_smk,,,,Not_Found
SMK Negeri 64,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 65,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 66,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 67,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 68,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 69,Jakarta Timur,sma_smk,,,,Not_Found
SMK Negeri 70,Jakarta Timur,sma_smk,,,,Not_Found
